Region,Date,Monitored CAP in MW,Generation / Today's Program,Generation / Today's Actual,Generation / FY YTD Program,Generation / FY YTD Actual,Coal Stock in Days,CAP under outage,Outage Date,Expected Date / Sync Date,Remarks
NORTH EASTERN,2020-01-04,3964.3050000000007,45.800000000000004,44.330000000000005,15615.200000000004,14478.370000000003,,855.8,,,
BHUTAN IMP.,2020-01-04,0,10.87,5.029999999999999,5477.48,5571.15,,0,,,
NORTHERN,2020-01-05,69213.53,794.0399999999993,727.4499999999997,262184.49999999994,247578.24000000014,,20895.009999999984,,,
WESTERN,2020-01-05,105274.48999999999,1368.4100000000014,1292.3499999999995,378050.18999999977,362013.9999999999,,35134.060000000005,,,
SOUTHERN,2020-01-05,63324.320999999996,762.5100000000001,645.7900000000001,204611.5899999999,187424.61999999997,,23060.08,,,
EASTERN,2020-01-05,41037.49799999999,533.2800000000003,487.8800000000002,158014.92,149772.08000000007,,12017.75,,,
NORTH EASTERN,2020-01-05,3964.3050000000007,45.800000000000004,42.56,15661.000000000002,14520.930000000002,,885.8,,,
BHUTAN IMP.,2020-01-05,0,10.87,5.27,5488.35,5576.42,,0,,,
NORTHERN,2020-01-06,69213.53,794.0399999999993,720.3600000000004,262978.5399999998,248298.60000000006,,21453.249999999985,,,
WESTERN,2020-01-06,105274.48999999999,1362.8500000000015,1346.9899999999993,379413.0400000004,363360.9900000001,,35058.85,,,
SOUTHERN,2020-01-06,63324.320999999996,762.5100000000001,662.4300000000002,205374.1,188087.05000000002,,23222.08,,,
EASTERN,2020-01-06,41037.49799999999,533.2800000000003,503.69000000000005,158548.20000000004,150275.76999999996,,11882.75,,,
NORTH EASTERN,2020-01-06,3964.3050000000007,45.800000000000004,44.040000000000006,15706.8,14564.97,,1006.8,,,
BHUTAN IMP.,2020-01-06,0,10.87,4.66,5499.219999999999,5581.08,,0,,,
NORTHERN,2020-01-07,69213.53,794.0399999999993,733.4400000000002,263772.58000000013,249032.04000000004,,21216.249999999985,,,
WESTERN,2020-01-07,105274.48999999999,1362.8500000000015,1373.7900000000006,380775.89000000013,364734.7800000001,,35777.85,,,
SOUTHERN,2020-01-07,63324.320999999996,762.5100000000001,686.7200000000003,206136.60999999996,188773.77000000002,,22160.08,,,
EASTERN,2020-01-07,41037.49799999999,533.2800000000003,498.9700000000001,159081.48000000004,150774.74000000002,,12517.75,,,
NORTH EASTERN,2020-01-07,3964.3050000000007,45.800000000000004,43.459999999999994,15752.6,14608.429999999997,,902.1949999999999,,,
BHUTAN IMP.,2020-01-07,0,10.87,4.4,5510.09,5585.48,,0,,,
NORTHERN,2020-01-08,69213.53,796.5799999999994,730.1100000000001,264569.16000000003,249762.15,,20097.249999999985,,,
WESTERN,2020-01-08,105274.48999999999,1362.8500000000015,1352.4000000000005,382138.7399999999,366087.18,,33517.85,,,
SOUTHERN,2020-01-08,63324.320999999996,762.5100000000001,673.92,206899.11999999994,189447.69000000015,,21720.08,,,
EASTERN,2020-01-08,41037.49799999999,533.2800000000003,501.56000000000006,159614.76,151276.30000000008,,12137.75,,,
NORTH EASTERN,2020-01-08,3964.3050000000007,45.800000000000004,41.98000000000001,15798.399999999996,14650.409999999996,,972.9649999999999,,,
BHUTAN IMP.,2020-01-08,0,10.87,4.869999999999999,5520.959999999999,5590.35,,0,,,
NORTHERN,2020-01-09,69213.53,796.5799999999994,721.8199999999998,265365.7399999999,250483.97000000006,,20557.249999999985,,,
WESTERN,2020-01-09,105274.48999999999,1362.8500000000015,1315.1499999999987,383501.5899999999,367402.32999999996,,34022.85,,,
SOUTHERN,2020-01-09,63324.320999999996,766.4200000000001,690.51,207665.5400000001,190138.20000000016,,20621.08,,,
EASTERN,2020-01-09,41037.49799999999,533.2800000000003,496.19999999999993,160148.03999999998,151772.5,,12562.75,,,
NORTH EASTERN,2020-01-09,3964.3050000000007,45.800000000000004,40.9,15844.199999999995,14691.309999999998,,1043.965,,,
BHUTAN IMP.,2020-01-09,0,10.87,4.47,5531.83,5594.82,,0,,,
NORTHERN,2020-01-10,69213.53,796.5799999999994,722.81,266162.31999999983,251206.7800000001,,21441.249999999985,,,
WESTERN,2020-01-10,105274.48999999999,1361.8100000000015,1301.13,384863.4000000002,368748.15999999986,,33450.35,,,
SOUTHERN,2020-01-10,63324.320999999996,766.4200000000001,696.6500000000002,208431.95999999988,190834.85000000018,,19271.680000000004,,,
EASTERN,2020-01-10,41037.49799999999,533.2800000000003,477.85000000000014,160681.31999999995,152250.3500000001,,13047.75,,,
NORTH EASTERN,2020-01-10,3964.3050000000007,45.800000000000004,40.81000000000001,15890,14732.119999999992,,942.9649999999999,,,
BHUTAN IMP.,2020-01-10,0,10.87,4.77,5542.699999999999,5599.59,,0,,,
NORTHERN,2020-01-11,69213.53,796.5799999999994,703.9600000000003,266958.9,251910.73999999993,,20901.249999999985,,,
WESTERN,2020-01-11,105274.48999999999,1361.8100000000015,1344.4899999999998,386225.2099999999,370092.6499999999,,34240.35,,,
SOUTHERN,2020-01-11,63324.320999999996,766.4200000000001,712.8600000000002,209198.37999999983,191547.71000000002,,18679.58,,,
EASTERN,2020-01-11,41037.49799999999,533.2800000000003,492.6500000000001,161214.60000000006,152743.00000000006,,12727.75,,,
NORTH EASTERN,2020-01-11,3964.3050000000007,45.800000000000004,42.46999999999999,15935.800000000007,14774.59,,992.895,,,
BHUTAN IMP.,2020-01-11,0,10.87,4.65,5553.57,5604.24,,0,,,
NORTHERN,2020-01-12,69213.53,796.5799999999994,720.52,267755.47999999986,252631.26000000004,,20071.649999999983,,,
WESTERN,2020-01-12,105274.48999999999,1362.1000000000015,1316.749999999999,387587.3100000003,371409.3999999997,,35735.35,,,
SOUTHERN,2020-01-12,63324.320999999996,766.4200000000001,684.6000000000003,209964.79999999993,192232.31000000014,,19801.08,,,
EASTERN,2020-01-12,41037.49799999999,533.2800000000003,503.5699999999998,161747.88000000006,153246.5700000001,,11027.75,,,
NORTH EASTERN,2020-01-12,3964.3050000000007,45.800000000000004,40.970000000000006,15981.600000000002,14815.559999999998,,804.465,,,
BHUTAN IMP.,2020-01-12,0,10.87,5.34,5564.439999999999,5609.58,,0,,,
NORTHERN,2020-01-13,69213.53,796.5799999999994,734.8499999999998,268552.0600000001,253366.11000000007,,20898.249999999985,,,
WESTERN,2020-01-13,105274.48999999999,1362.1000000000015,1341.7399999999996,388949.4099999996,372751.14000000013,,34823.35,,,
SOUTHERN,2020-01-13,63324.320999999996,766.4200000000001,724.2900000000001,210731.22000000015,192956.6,,19824.18,,,
EASTERN,2020-01-13,41037.49799999999,533.2800000000003,520.1599999999997,162281.16,153766.73000000007,,11552.75,,,
NORTH EASTERN,2020-01-13,3964.3050000000007,45.800000000000004,41.42,16027.4,14856.980000000001,,804.465,,,
BHUTAN IMP.,2020-01-13,0,10.87,4.2,5575.3099999999995,5613.78,,0,,,
NORTHERN,2020-01-14,69213.53,793.7299999999993,736.3899999999994,269345.7900000001,254102.49999999985,,20891.249999999985,,,
WESTERN,2020-01-14,105274.48999999999,1369.9600000000014,1339.4899999999996,390319.36999999994,374090.6299999998,,33629.35,,,
SOUTHERN,2020-01-14,63324.320999999996,766.4200000000001,692.7600000000002,211497.64000000013,193649.35999999996,,19404.18,,,
EASTERN,2020-01-14,41037.49799999999,533.2800000000003,509.23,162814.43999999997,154275.96000000008,,11445.75,,,
NORTH EASTERN,2020-01-14,3964.3050000000007,45.800000000000004,40.480000000000004,16073.199999999995,14897.46,,829.465,,,
BHUTAN IMP.,2020-01-14,0,10.87,5.21,5586.1799999999985,5618.99,,0,,,
NORTHERN,2020-01-15,69213.53,791.5899999999993,717.46,270137.3800000002,254819.96000000005,,21698.249999999985,,,
WESTERN,2020-01-15,105274.48999999999,1369.8700000000013,1295.249999999999,391689.23999999976,375385.87999999995,,34594.35,,,
SOUTHERN,2020-01-15,63324.320999999996,766.4200000000001,624.2400000000001,212264.06000000014,194273.60000000003,,23874.18,,,
EASTERN,2020-01-15,41037.49799999999,518.8500000000001,502.18999999999994,163333.29,154778.15,,12063.25,,,
NORTH EASTERN,2020-01-15,3964.3050000000007,45.800000000000004,39.669999999999995,16119.000000000002,14937.130000000001,,809.4300000000001,,,
BHUTAN IMP.,2020-01-15,0,10.87,4.9,5597.049999999999,5623.889999999999,,0,,,
NORTHERN,2020-01-16,69213.53,791.5899999999993,692.9499999999997,270928.9700000001,255512.90999999997,,22588.649999999983,,,
WESTERN,2020-01-16,105274.48999999999,1380.6200000000013,1283.7399999999993,393069.86,376669.6199999999,,31839.35,,,
SOUTHERN,2020-01-16,63324.320999999996,766.4200000000001,621.2599999999999,213030.48000000004,194893.91,,23156.68,,,
EASTERN,2020-01-16,41037.49799999999,512.69,495.38000000000005,163845.98000000004,155289.12999999998,,12423.75,,,
NORTH EASTERN,2020-01-16,3964.3050000000007,45.800000000000004,40.59,16164.799999999996,14977.719999999998,,829.465,,,
BHUTAN IMP.,2020-01-16,0,10.87,4.970000000000001,5607.919999999998,5628.860000000001,,0,,,
NORTHERN,2020-01-17,69213.53,791.5899999999993,698.7000000000003,271720.56000000035,256211.42999999988,,22862.249999999985,,,
WESTERN,2020-01-17,105274.48999999999,1381.6600000000012,1344.27,394451.52000000014,378013.88999999996,,32946.85,,,
SOUTHERN,2020-01-17,63324.320999999996,766.4200000000001,655.4099999999996,213796.89999999997,195550.27000000002,,22320.08,,,
EASTERN,2020-01-17,41037.49799999999,512.4300000000001,526.58,164358.41000000003,155797.84000000003,,10940.75,,,
NORTH EASTERN,2020-01-17,3964.3050000000007,45.800000000000004,41.27,16210.6,15018.990000000002,,862.965,,,
BHUTAN IMP.,2020-01-17,0,10.87,4.699999999999999,5618.789999999999,5633.5599999999995,,0,,,
NORTHERN,2020-01-18,69213.53,791.5899999999993,705.4500000000003,272512.14999999985,256916.88000000006,,23863.249999999985,,,
WESTERN,2020-01-18,105274.48999999999,1381.6600000000012,1343.849999999999,395833.17999999993,379357.73999999993,,34656.85,,,
SOUTHERN,2020-01-18,63324.320999999996,766.4200000000001,668.5899999999996,214563.3200000001,196218.86000000013,,21860.08,,,
EASTERN,2020-01-18,41037.49799999999,512.4300000000001,539.4099999999999,164870.83999999994,156337.25000000003,,10330.75,,,
NORTH EASTERN,2020-01-18,3964.3050000000007,45.800000000000004,40.46,16256.4,15059.45,,892.9649999999999,,,
BHUTAN IMP.,2020-01-18,0,10.87,5.09,5629.659999999998,5638.65,,0,,,
NORTHERN,2020-01-19,69213.53,801.6399999999993,676.6300000000006,273313.7900000004,257593.50999999995,,23869.249999999985,,,
WESTERN,2020-01-19,105274.48999999999,1381.6600000000012,1279.37,397214.83999999973,380637.11,,34431.85,,,
SOUTHERN,2020-01-19,63324.320999999996,766.4200000000001,645.2800000000003,215329.74000000002,196864.13999999998,,22313.280000000006,,,
EASTERN,2020-01-19,41037.49799999999,512.4300000000001,513.61,165383.27,156850.85999999996,,10003.75,,,
NORTH EASTERN,2020-01-19,3964.3050000000007,45.800000000000004,39.41,16302.200000000004,15098.860000000004,,951.4649999999999,,,
BHUTAN IMP.,2020-01-19,0,10.87,4.67,5640.529999999999,5643.32,,0,,,
NORTHERN,2020-01-20,69213.53,797.5899999999992,711.3500000000001,274111.3800000001,258304.86000000002,,22759.249999999985,,,
WESTERN,2020-01-20,105274.48999999999,1381.6600000000012,1339.7399999999996,398596.5000000002,381976.8499999996,,35032.85,,,
SOUTHERN,2020-01-20,63342.465,766.4200000000001,690.1399999999999,216096.16000000018,197554.28000000006,,21433.280000000006,,,
EASTERN,2020-01-20,41037.49799999999,512.4300000000001,537.4000000000002,165895.69999999998,157388.25999999998,,10780.75,,,
NORTH EASTERN,2020-01-20,3964.3050000000007,45.800000000000004,41.38999999999999,16347.999999999996,15140.249999999996,,897.9300000000001,,,
BHUTAN IMP.,2020-01-20,0,10.87,4.77,5651.399999999998,5648.09,,0,,,
NORTHERN,2020-01-21,69213.53,798.3099999999993,724.2999999999998,274909.68999999994,259029.15999999995,,21709.249999999985,,,
WESTERN,2020-01-21,105274.48999999999,1382.5700000000013,1377.290000000001,399979.0699999999,383354.1399999998,,33997.85,,,
SOUTHERN,2020-01-21,63342.465,764.6700000000001,688.0399999999997,216860.8300000002,198242.32000000018,,20212.280000000006,,,
EASTERN,2020-01-21,41037.49799999999,512.69,533.93,166408.39000000007,157922.19,,10790.75,,,
NORTH EASTERN,2020-01-21,3964.3050000000007,45.800000000000004,39.69,16393.799999999996,15179.940000000002,,922.9649999999999,,,
BHUTAN IMP.,2020-01-21,0,10.87,4.3100000000000005,5662.269999999999,5652.4,,0,,,
NORTHERN,2020-01-22,69213.53,811.7099999999992,707.0400000000001,275721.39999999985,259736.2000000001,,21433.899999999983,,,
WESTERN,2020-01-22,105274.48999999999,1385.0700000000013,1306.1699999999994,401364.14000000013,384660.30999999976,,33195.35,,,
SOUTHERN,2020-01-22,63342.465,764.6700000000001,681.2299999999999,217625.50000000003,198923.55,,19749.780000000006,,,
EASTERN,2020-01-22,41037.49799999999,512.69,525.3299999999999,166921.08000000002,158447.52,,10330.75,,,
NORTH EASTERN,2020-01-22,3964.3050000000007,45.800000000000004,38.17,16439.6,15218.109999999999,,977.4649999999999,,,
BHUTAN IMP.,2020-01-22,0,10.87,4.12,5673.1399999999985,5656.5199999999995,,0,,,
NORTHERN,2020-01-23,69213.53,811.7099999999992,704.2000000000002,276533.1100000003,260440.39999999988,,21784.899999999983,,,
WESTERN,2020-01-23,105274.48999999999,1380.8900000000012,1321.3399999999997,402745.0299999997,385981.65,,33260.35,,,
SOUTHERN,2020-01-23,63342.465,764.6700000000001,697.84,218390.16999999993,199621.39000000007,,20331.080000000005,,,
EASTERN,2020-01-23,41037.49799999999,512.69,526.5999999999999,167433.77000000005,158974.12000000002,,10610.75,,,
NORTH EASTERN,2020-01-23,3964.3050000000007,45.800000000000004,36.099999999999994,16485.40000000001,15254.21,,1039.895,,,
BHUTAN IMP.,2020-01-23,0,10.87,4.02,5684.009999999998,5660.54,,0,,,
NORTHERN,2020-01-24,69213.53,811.7099999999992,727.74,277344.8199999999,261168.13999999987,,21857.169999999984,,,
WESTERN,2020-01-24,104854.48999999999,1380.8900000000012,1387.69,404125.91999999987,387369.3399999999,,33970.35,,,
SOUTHERN,2020-01-24,63342.465,764.6700000000001,712.1099999999999,219154.84000000008,200333.50000000003,,19658.680000000004,,,
EASTERN,2020-01-24,41037.49799999999,512.69,539.8099999999996,167946.46,159513.93000000002,,10610.75,,,
NORTH EASTERN,2020-01-24,3964.3050000000007,45.800000000000004,36.58,16531.200000000004,15290.790000000003,,998.9649999999999,,,
BHUTAN IMP.,2020-01-24,0,10.87,4.07,5694.879999999998,5664.61,,0,,,
NORTHERN,2020-01-25,69213.53,811.7099999999992,735.0100000000006,278156.53,261903.15000000008,,21491.169999999984,,,
WESTERN,2020-01-25,104854.48999999999,1377.5100000000011,1407.5399999999997,405503.43,388776.88000000006,,35095.35,,,
SOUTHERN,2020-01-25,63342.465,764.6700000000001,729.27,219919.51,201062.77000000014,,20504.58,,,
EASTERN,2020-01-25,41037.49799999999,512.69,555.9799999999998,168459.15,160069.90999999992,,10690.75,,,
NORTH EASTERN,2020-01-25,3964.3050000000007,45.800000000000004,37.99000000000001,16577,15328.780000000002,,985.395,,,
BHUTAN IMP.,2020-01-25,0,10.87,3.95,5705.749999999998,5668.5599999999995,,0,,,
NORTHERN,2020-01-26,69213.53,814.5399999999993,704.66,278971.07000000024,262607.81000000006,,21841.169999999984,,,
WESTERN,2020-01-26,104854.48999999999,1381.810000000001,1326.9999999999995,406885.23999999993,390103.88,,33680.35,,,
SOUTHERN,2020-01-26,63342.465,764.6700000000001,670.0000000000003,220684.18000000008,201732.7700000001,,20811.365000000005,,,
EASTERN,2020-01-26,41037.49799999999,512.69,524.8400000000001,168971.8400000001,160594.7499999999,,10690.75,,,
NORTH EASTERN,2020-01-26,3964.3050000000007,45.800000000000004,35.55,16622.800000000003,15364.330000000002,,998.9649999999999,,,
BHUTAN IMP.,2020-01-26,0,10.87,3.8899999999999997,5716.619999999998,5672.45,,0,,,
NORTHERN,2020-01-27,69213.53,814.5399999999993,705.1199999999999,279785.6099999998,263312.93000000005,,21647.569999999985,,,
WESTERN,2020-01-27,104854.48999999999,1381.810000000001,1365.6999999999996,408267.05000000016,391469.5800000001,,33085.35,,,
SOUTHERN,2020-01-27,63342.465,764.6700000000001,722.1999999999999,221448.84999999998,202454.9700000001,,20161.365000000005,,,
EASTERN,2020-01-27,41037.49799999999,512.69,541.7399999999999,169484.53000000012,161136.48999999993,,10890.75,,,
NORTH EASTERN,2020-01-27,3964.3050000000007,45.800000000000004,36.669999999999995,16668.600000000002,15401.000000000004,,1072.43,,,
BHUTAN IMP.,2020-01-27,0,10.87,4.81,5727.489999999998,5677.26,,0,,,
NORTHERN,2020-01-28,69213.53,814.5399999999993,715.4799999999999,280600.15000000014,264028.4099999998,,21236.169999999984,,,
WESTERN,2020-01-28,104854.48999999999,1381.810000000001,1380.9700000000003,409648.85999999987,392850.54999999976,,32635.35,,,
SOUTHERN,2020-01-28,63342.465,764.6700000000001,749.3499999999995,222213.52000000022,203204.32000000015,,19851.165000000005,,,
EASTERN,2020-01-28,41037.49799999999,512.69,542.9799999999998,169997.22000000006,161679.46999999997,,9830.75,,,
NORTH EASTERN,2020-01-28,3964.3050000000007,45.800000000000004,39.96,16714.399999999998,15440.96,,931.4649999999999,,,
BHUTAN IMP.,2020-01-28,0,10.87,3.5999999999999996,5738.359999999998,5680.86,,0,,,
NORTHERN,2020-01-29,69213.53,824.2099999999992,712.8100000000005,281424.3600000003,264741.21999999986,,22119.169999999984,,,
WESTERN,2020-01-29,104854.48999999999,1381.810000000001,1410.0199999999986,411030.6700000002,394260.5699999999,,31305.35,,,
SOUTHERN,2020-01-29,63342.465,764.6700000000001,751.8200000000005,222978.18999999992,203956.14000000013,,20710.465000000004,,,
EASTERN,2020-01-29,40927.49799999999,512.69,547.7499999999997,170509.91,162227.22000000003,,10097.75,,,
NORTH EASTERN,2020-01-29,3964.3050000000007,45.800000000000004,39.85,16760.2,15480.809999999996,,897.9649999999999,,,
BHUTAN IMP.,2020-01-29,0,10.87,4.07,5749.229999999998,5684.93,,0,,,
NORTHERN,2020-01-30,69213.53,821.6599999999992,705.2800000000004,282246.02,265446.49999999994,,22519.169999999984,,,
WESTERN,2020-01-30,104854.48999999999,1384.810000000001,1411.2200000000005,412415.4799999996,395671.78999999986,,31675.35,,,
SOUTHERN,2020-01-30,63342.465,764.6700000000001,748.5300000000003,223742.85999999987,204704.67,,21089.665000000005,,,
EASTERN,2020-01-30,40927.49799999999,512.69,549.47,171022.60000000003,162776.6899999999,,10727.75,,,
NORTH EASTERN,2020-01-30,3964.3050000000007,45.800000000000004,39.25,16806,15520.059999999998,,888,,,
BHUTAN IMP.,2020-01-30,0,10.87,3.99,5760.099999999998,5688.92,,0,,,
NORTHERN,2020-01-31,69213.53,837.6599999999992,718.7100000000002,283084,266165.2100000001,,21259.169999999984,,,
WESTERN,2020-01-31,104854.48999999999,1384.810000000001,1409.5700000000008,413799,397081.3599999997,,32185.35,,,
SOUTHERN,2020-01-31,63342.465,764.6700000000001,757.8400000000005,224510,205462.50999999998,,19813.865000000005,,,
EASTERN,2020-01-31,40927.49799999999,512.69,538.0400000000002,171538,163314.7299999999,,10957.75,,,
NORTH EASTERN,2020-01-31,3964.3050000000007,45.800000000000004,38.99999999999999,16852,15559.060000000001,,823,,,
BHUTAN IMP.,2020-01-31,0,10.87,4,5771,5692.92,,0,,,
NORTHERN,2020-02-01,69213.53,819.9800000000002,709.8299999999999,283903.98000000004,266965.5099999999,,21231.899999999983,,,
WESTERN,2020-02-01,104854.48999999999,1355.1799999999996,1388.4300000000003,415154.1800000004,398512.2099999999,,30750.35,,,
SOUTHERN,2020-02-01,63342.465,766.8299999999997,724.6600000000005,225276.8300000001,206313.11,,19294.665000000005,,,
EASTERN,2020-02-01,40927.49799999999,511.1999999999998,517.8299999999999,172049.20000000004,163958.72000000003,,11852.75,,,
NORTH EASTERN,2020-02-01,3964.3050000000007,44.81999999999999,39.370000000000005,16896.82,15586.700000000004,,828,,,
BHUTAN IMP.,2020-02-01,0,7.97,4.19,5778.97,5659.66,,0,,,
NORTHERN,2020-02-02,69213.53,819.9800000000002,703.1299999999998,284723.96000000025,267668.6400000001,,22320.499999999985,,,
WESTERN,2020-02-02,104854.48999999999,1355.1799999999996,1330.76,416509.36000000016,399842.97000000003,,31980.35,,,
SOUTHERN,2020-02-02,63342.465,766.8299999999997,676.58,226043.6600000001,206989.68999999997,,19343.865000000005,,,
EASTERN,2020-02-02,40927.49799999999,511.1999999999998,494.1800000000001,172560.39999999988,164452.90000000002,,11597.75,,,
NORTH EASTERN,2020-02-02,3964.3050000000007,44.81999999999999,38.660000000000004,16941.640000000003,15625.359999999999,,849.395,,,
BHUTAN IMP.,2020-02-02,0,7.97,3.61,5786.9400000000005,5663.27,,0,,,
NORTHERN,2020-02-03,69213.53,819.9800000000002,724.0099999999998,285543.93999999994,268392.6499999998,,21694.569999999985,,,
WESTERN,2020-02-03,104854.48999999999,1366.2499999999998,1403.18,417875.6099999998,401246.1500000001,,32647.85,,,
SOUTHERN,2020-02-03,63342.465,766.8299999999997,733.5999999999993,226810.49000000008,207723.28999999995,,18808.865,,,
EASTERN,2020-02-03,40927.49799999999,511.1999999999998,509.5299999999999,173071.59999999998,164962.42999999996,,12050.75,,,
NORTH EASTERN,2020-02-03,3964.3050000000007,44.81999999999999,38.83999999999999,16986.46,15664.2,,917.895,,,
BHUTAN IMP.,2020-02-03,0,7.97,3.33,5794.910000000001,5666.599999999999,,0,,,
NORTHERN,2020-02-04,69213.53,809.7300000000002,725.3100000000002,286353.67,269117.95999999985,,22409.499999999985,,,
WESTERN,2020-02-04,104854.48999999999,1364.5499999999997,1428.6799999999992,419240.1599999997,402673.54,,32892.85,,,
SOUTHERN,2020-02-04,63342.465,766.8299999999997,746.4499999999999,227577.31999999992,208469.73999999987,,19530.465000000004,,,
EASTERN,2020-02-04,40927.49799999999,518.0499999999997,545.5299999999999,173589.64999999997,165507.96,,9985.75,,,
NORTH EASTERN,2020-02-04,3964.3050000000007,44.81999999999999,41.230000000000004,17031.28,15705.429999999997,,929.3599999999999,,,
BHUTAN IMP.,2020-02-04,0,7.97,3.58,5802.880000000001,5670.18,,0,,,
NORTHERN,2020-02-05,69213.53,807.7700000000002,722.98,287161.4399999998,269840.9400000001,,22529.169999999984,,,
WESTERN,2020-02-05,104854.48999999999,1356.2599999999998,1431.1599999999994,420596.41999999987,404104.70000000007,,31062.85,,,
SOUTHERN,2020-02-05,63342.465,766.8299999999997,762.7300000000002,228344.15,209232.46999999997,,18734.665000000005,,,
EASTERN,2020-02-05,40927.49799999999,518.0499999999997,538.6,174107.7000000001,166046.55999999994,,11670.75,,,
NORTH EASTERN,2020-02-05,3964.3050000000007,44.81999999999999,40.83,17076.1,15746.26,,919.395,,,
BHUTAN IMP.,2020-02-05,0,7.97,3.3600000000000003,5810.850000000001,5673.539999999999,,0,,,
NORTHERN,2020-02-06,69213.53,807.7700000000002,735.6,287969.2100000001,270576.5399999999,,21814.169999999984,,,
WESTERN,2020-02-06,104854.48999999999,1356.2599999999998,1426.8700000000001,421952.6800000001,405531.5699999999,,30137.85,,,
SOUTHERN,2020-02-06,63342.465,766.8299999999997,751.38,229110.98,209983.85000000006,,19314.665000000005,,,
EASTERN,2020-02-06,40927.49799999999,518.0499999999997,551.57,174625.74999999997,166598.12999999998,,10970.75,,,
NORTH EASTERN,2020-02-06,4114.305,44.81999999999999,39.47,17120.920000000013,15785.730000000007,,909.5,,,
BHUTAN IMP.,2020-02-06,0,7.97,2.9499999999999997,5818.8200000000015,5676.49,,0,,,
NORTHERN,2020-02-07,69213.53,810.3800000000002,751.2000000000003,288779.5899999999,271327.74,,21664.569999999985,,,
WESTERN,2020-02-07,104854.48999999999,1356.2099999999998,1427.2200000000003,423308.8900000001,406958.7899999997,,30152.85,,,
SOUTHERN,2020-02-07,63342.465,766.8299999999997,731.0100000000002,229877.80999999988,210714.85999999993,,19368.865000000005,,,
EASTERN,2020-02-07,40927.49799999999,518.0499999999997,555.24,175143.80000000005,167153.37000000008,,11160.75,,,
NORTH EASTERN,2020-02-07,4114.305,44.81999999999999,43.019999999999996,17165.73999999999,15828.750000000004,,943,,,
BHUTAN IMP.,2020-02-07,0,7.97,2.9499999999999997,5826.790000000002,5679.44,,0,,,
NORTHERN,2020-02-08,69213.53,809.7700000000002,734.2,289589.35999999987,272061.94000000006,,22463.169999999984,,,
WESTERN,2020-02-08,104854.48999999999,1356.2099999999998,1390.7399999999993,424665.0999999999,408349.5299999998,,29902.85,,,
SOUTHERN,2020-02-08,63342.465,766.8299999999997,729.1600000000002,230644.63999999984,211444.0200000001,,19784.865000000005,,,
EASTERN,2020-02-08,40927.49799999999,521.9999999999998,539.2399999999998,175665.80000000008,167692.61000000002,,10955.75,,,
NORTH EASTERN,2020-02-08,4114.305,44.81999999999999,40.540000000000006,17210.55999999999,15869.29,,952.9649999999999,,,
BHUTAN IMP.,2020-02-08,0,7.97,2.84,5834.760000000002,5682.28,,0,,,
NORTHERN,2020-02-09,69213.53,809.7700000000002,715.47,290399.12999999983,272777.41,,22940.169999999984,,,
WESTERN,2020-02-09,104854.48999999999,1356.2099999999998,1328.4699999999996,426021.31000000006,409677.9999999998,,30637.85,,,
SOUTHERN,2020-02-09,63342.465,766.8299999999997,678.15,231411.47000000003,212122.17000000004,,19469.465000000004,,,
EASTERN,2020-02-09,40927.49799999999,521.9999999999998,512.2299999999998,176187.8,168204.83999999997,,11210.75,,,
NORTH EASTERN,2020-02-09,4114.305,44.81999999999999,39.209999999999994,17255.380000000005,15908.5,,1212.93,,,
BHUTAN IMP.,2020-02-09,0,7.97,2.84,5842.730000000002,5685.12,,0,,,
NORTHERN,2020-02-10,69213.53,809.7700000000002,726.1499999999999,291208.90000000014,273503.56,,22641.499999999985,,,
WESTERN,2020-02-10,104854.48999999999,1356.2099999999998,1394.0799999999995,427377.52000000014,411072.08,,27997.85,,,
SOUTHERN,2020-02-10,63342.465,766.8299999999997,697.0899999999998,232178.29999999987,212819.26000000018,,18439.465000000004,,,
EASTERN,2020-02-10,40927.49799999999,521.9999999999998,520.1700000000002,176709.80000000008,168725.01,,11210.75,,,
NORTH EASTERN,2020-02-10,4114.305,44.81999999999999,34.78,17300.199999999997,15943.280000000002,,1492.965,,,
BHUTAN IMP.,2020-02-10,0,7.97,2.76,5850.700000000003,5687.879999999999,,0,,,
NORTHERN,2020-02-11,69213.53,809.7700000000002,730.9900000000001,292018.6699999999,274234.5499999998,,22276.499999999985,,,
WESTERN,2020-02-11,104854.48999999999,1356.2099999999998,1434.5300000000002,428733.73,412506.60999999964,,29037.85,,,
SOUTHERN,2020-02-11,63342.465,766.8299999999997,709.3399999999997,232945.1299999997,213528.6,,19351.865,,,
EASTERN,2020-02-11,40927.49799999999,521.9999999999998,536.8600000000001,177231.80000000002,169261.87000000002,,11210.75,,,
NORTH EASTERN,2020-02-11,4114.305,44.81999999999999,34.129999999999995,17345.019999999997,15977.410000000003,,1722.965,,,
BHUTAN IMP.,2020-02-11,0,7.97,3.12,5858.670000000003,5691,,0,,,
NORTHERN,2020-02-12,69213.53,809.7700000000002,731.5599999999997,292828.44000000035,274966.1100000001,,22596.499999999985,,,
WESTERN,2020-02-12,104854.48999999999,1356.2099999999998,1441.3599999999997,430089.9400000002,413947.96999999974,,29157.85,,,
SOUTHERN,2020-02-12,63342.465,766.8299999999997,723.4100000000001,233711.95999999976,214252.00999999995,,19425.365000000005,,,
EASTERN,2020-02-12,40927.49799999999,521.9999999999998,544.14,177753.80000000002,169806.01,,10270.75,,,
